DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2021/08/20 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,33.0,0.0,1.0,-15.73821,-48.16629,3.8
2021/08/20 16:09:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.53524,-47.47918,11.7
2021/08/20 17:09:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.61958,-48.19327,57.4
2021/08/20 16:53:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.62,-48.17,
2021/08/20 14:03:47,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.81,-47.62,
2021/08/20 17:02:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.7972,-47.9501,2.9
2021/08/20 17:02:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.61672,-48.19189,3.4
2021/08/20 17:02:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.61306,-48.19257,67.6
2021/08/20 17:02:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.57976,-47.99651,5.5
2021/08/20 17:02:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,28.0,0.0,1.0,-15.57606,-47.99718,5.5
2021/08/21 17:32:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,29.0,0.0,-999.0,-15.80369,-47.99745,2.1
2021/08/21 17:32:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,29.0,0.0,1.0,-15.76941,-47.68549,12.0
2021/08/21 15:52:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,29.0,0.0,1.0,-15.81442,-47.7899,7.8
2021/08/21 16:41:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,29.0,0.0,1.0,-15.93113,-47.76146,5.6
2021/08/21 16:41:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,29.0,0.0,1.0,-15.81694,-47.79078,4.5
2021/08/21 16:41:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,29.0,0.0,1.0,-15.80578,-47.84184,1.8
2021/08/21 16:41:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,29.0,0.0,-999.0,-15.80165,-47.99982,2.0
2021/08/22 17:13:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,29.0,0.0,1.0,-15.6966,-48.1174,7.8
2021/08/22 16:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,1.0,-15.92731,-47.76157,2.7
2021/08/22 16:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,-999.0,-15.90146,-47.76515,2.8
2021/08/22 16:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,1.0,-15.69448,-48.12018,6.8
2021/08/22 16:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,1.0,-15.69395,-48.11602,6.8
2021/08/22 16:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,1.0,-15.67361,-47.44568,3.9
2021/08/22 16:56:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,1.0,-15.7018,-48.1227,12.6
2021/08/22 16:56:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,1.0,-15.70047,-48.11344,8.9
2021/08/22 14:05:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,1.0,-15.84545,-47.63008,44.4
2021/08/22 04:42:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,49.0,0.0,1.0,-15.95452,-47.69816,1.5
2021/08/22 04:42:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,49.0,0.0,1.0,-15.95073,-47.69763,0.8
2021/08/22 04:42:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,0.9,-15.57026,-47.8544,1.6
2021/08/22 04:42:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,30.0,0.0,1.0,-15.51899,-47.64041,1.1
2021/08/23 17:45:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.63718,-48.12413,5.4
2021/08/23 16:03:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.96483,-48.1448,5.5
2021/08/23 16:03:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.96442,-48.14073,5.5
2021/08/23 16:03:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.70365,-47.60426,6.4
2021/08/23 16:03:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.70929,-47.60337,6.4
2021/08/23 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,-999.0,-15.86607,-47.81921,5.7
2021/08/23 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,33.0,0.0,1.0,-15.71798,-48.16103,3.1
2021/08/23 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.71173,-47.60477,15.2
2021/08/23 16:54:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.71108,-47.60078,15.2
2021/08/23 16:56:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.6339,-48.1205,12.3
2021/08/23 16:56:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.51537,-47.64566,30.6
2021/08/23 16:56:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.51187,-47.64621,30.6
2021/08/23 18:43:47,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.75,-47.54,
2021/08/23 18:43:47,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.76,-47.52,
2021/08/23 13:10:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,-999.0,-15.80499,-48.0849,18.3
2021/08/23 13:10:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.79365,-48.08308,22.4
2021/08/23 04:21:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,31.0,0.0,1.0,-15.934,-48.12048,1.1
