latitude,longitude,objectid,id_grade,id_20km_rcp4,ano,periodo,mntp,mxtp,ocis,prec,ur2m,u10m,v10m,u100,v100,tp2m,
null,null,2006096,15008,98,2006,1136073600000,20.3382,30.4559,280,1469,53.0802,-1.18556,-0.666408,-1.7221,-1.00351,25.6147,
null,null,2006097,15009,99,2006,1136073600000,20.278,30.4452,281,1589,52.8925,-1.37239,-0.659511,-2.0679,-0.942805,25.5609,
null,null,2006098,15010,100,2006,1136073600000,20.2609,30.4922,280,1727,52.4727,-1.35913,-0.511248,-2.3598,-0.655659,25.5604,
null,null,2006099,15011,101,2006,1136073600000,20.0767,30.0498,282,1728,52.1677,-1.41695,-0.335143,-2.18028,-0.082614,25.2163,
null,null,2006100,15012,102,2006,1136073600000,19.7659,29.4141,284,1716,52.1366,-1.45225,-0.195543,-2.16773,-0.145116,24.7038,
null,null,2006101,15013,103,2006,1136073600000,18.9772,28.5981,287,1281,53.0682,-1.98899,-0.293045,-2.89688,-0.406508,23.873,
null,null,2006102,15014,104,2006,1136073600000,17.5717,27.1842,291,955,55.1401,-1.98523,-0.146676,-3.76926,-1.21298,22.4089,
null,null,2006103,15015,105,2006,1136073600000,17.1564,27.0155,292,770,55.9393,-2.09811,-0.415617,-3.11104,-1.00016,22.156,
null,null,2006104,15016,106,2006,1136073600000,19.1793,29.4311,287,927,52.9482,-1.70218,-0.37854,-2.41947,-0.460051,24.4212,
null,null,2006105,15017,107,2006,1136073600000,19.9807,30.4763,285,958,52.1264,-1.28913,-0.092061,-1.80026,-0.126602,25.3106,
null,null,2006106,15018,108,2006,1136073600000,19.7223,30.472,286,939,52.3718,-1.53165,-0.130866,-2.11389,-0.223032,25.1609,
null,null,2006107,15019,109,2006,1136073600000,19.1435,30.2228,286,921,52.7913,-1.93719,-0.221476,-2.69676,-0.233976,24.7543,
null,null,2006108,15020,110,2006,1136073600000,18.052,29.3449,288,786,53.5972,-2.13395,-0.309086,-3.4889,-0.704364,23.7855,
null,null,2006109,15021,111,2006,1136073600000,17.2083,28.3762,291,768,54.7848,-2.77504,-0.699283,-3.97944,-0.897036,22.8593,
null,null,2006110,15022,112,2006,1136073600000,16.7999,28.0704,291,806,54.8681,-2.97217,-0.662417,-4.39507,-1.0214,22.5218,
null,null,2006111,15023,113,2006,1136073600000,16.6913,28.1106,292,835,54.6449,-3.06266,-0.657376,-4.45008,-0.862714,22.5085,
null,null,2006112,15024,114,2006,1136073600000,16.6199,27.9387,293,812,55.0158,-3.1427,-0.521783,-4.4719,-0.712846,22.3699,
null,null,2006113,16006,115,2006,1136073600000,19.53,28.8544,280,1344,55.6269,-1.13105,-0.664853,-2.26588,-1.03134,24.2659,
null,null,2006114,16007,116,2006,1136073600000,20.4702,30.3621,278,1658,53.7221,-1.25113,-0.696917,-1.7683,-0.941699,25.6081,
null,null,2006115,16008,117,2006,1136073600000,20.4914,30.4291,280,1658,53.0075,-1.22162,-0.691811,-1.85182,-1.13214,25.6614,
null,null,2006116,16009,118,2006,1136073600000,19.8889,29.5008,282,1721,53.4424,-1.75242,-0.833115,-2.40091,-1.14557,24.8244,
null,null,2006117,16010,119,2006,1136073600000,19.2914,28.7518,283,1572,54.0031,-1.71357,-0.508256,-2.96613,-0.822368,24.1264,
null,null,2006118,16011,120,2006,1136073600000,19.278,28.9032,283,1713,53.6244,-1.918,-0.373202,-2.72353,-0.246177,24.2068,
null,null,2006119,16012,121,2006,1136073600000,19.5076,29.3501,282,1792,52.8737,-1.78559,-0.172657,-2.54046,-0.289911,24.5542,
null,null,2006120,16013,122,2006,1136073600000,18.7572,28.5112,284,1508,53.7962,-1.96268,-0.16044,-3.0553,-0.415351,23.7382,
null,null,2006121,16014,123,2006,1136073600000,17.8173,27.443,288,1156,55.2183,-2.13959,-0.285389,-3.64244,-0.704578,22.6979,
null,null,2006122,16015,124,2006,1136073600000,17.0912,26.7485,294,687,56.5052,-2.16804,-0.394191,-3.34479,-0.74884,21.9729,
null,null,2006123,16016,125,2006,1136073600000,19.29,29.4936,286,965,52.7949,-1.94758,-0.489572,-2.70771,-0.524979,24.5108,
null,null,2006124,16017,126,2006,1136073600000,20.099,30.4624,284,1000,51.926,-1.33532,-0.407463,-1.86632,-0.421767,25.3719,
null,null,2006125,16018,127,2006,1136073600000,19.6406,30.1903,284,998,52.6037,-1.63236,-0.296461,-2.44225,-0.445727,24.9789,
null,null,2006126,16019,128,2006,1136073600000,18.352,29.3891,287,914,53.7897,-1.85946,-0.301982,-2.98866,-0.305895,23.9739,
null,null,2006127,16020,129,2006,1136073600000,17.9546,29.3021,287,850,53.9043,-2.22593,-0.258955,-3.26804,-0.503943,23.7437,
null,null,2006128,16021,130,2006,1136073600000,17.8261,29.276,287,815,53.7963,-2.40186,-0.504732,-3.65379,-0.813562,23.6605,
null,null,2006129,16022,131,2006,1136073600000,17.1734,28.5652,289,832,54.3327,-2.7595,-0.625802,-4.28257,-0.971877,22.9759,
null,null,2006130,16023,132,2006,1136073600000,16.7096,28.0948,291,821,54.79,-3.01899,-0.744519,-4.45503,-0.954886,22.5034,
null,null,2006131,16024,133,2006,1136073600000,16.6307,27.9087,292,811,55.2259,-3.16338,-0.693563,-4.44632,-0.904942,22.3534,
null,null,2006132,17006,134,2006,1136073600000,19.5686,29.0256,278,1428,55.8511,-1.21662,-0.691478,-2.20439,-1.03566,24.3972,
null,null,2006133,17007,135,2006,1136073600000,20.4396,30.3331,278,1773,54.0756,-1.23528,-0.677823,-1.67084,-0.910374,25.5544,
null,null,2006134,17008,136,2006,1136073600000,20.5001,30.4804,278,1854,53.2509,-1.21821,-0.713563,-1.83954,-1.1427,25.6719,
null,null,2006135,17009,137,2006,1136073600000,19.5058,29.07,281,1675,54.1637,-1.95244,-1.04784,-2.60224,-1.58436,24.4047,
